"Date","Operator","Aircraft","Location","Fatalities","Registration"
1999-02-24,"","Tupolev TU-154","Wenzhou, Zhejiang",61,"B-2622"
2000-07-17,"","Boeing 737-200","Patna, Bihar",60,"VT-EGD"
1995-03-31,"","Airbus A310","Bucharest-Otopeni-Henri Coandă, București",60,"YR-LCC"
2005-07-16,"Equatair","Antonov AN-24","Malabo, Bioko Norte Province (Malabo)",60,"3C-VQR"
2007-11-30,"","McDonnell Douglas MD-83","Isparta, Mediterranean Region (Akdeniz Bölgesi)",57,"TC-AKM"
2000-11-15,"Asa Pesada","Antonov AN-26","Luanda-4 de Fevereiro, Luanda",57,"D2-FCG"
1998-09-29,"","Antonov AN-24","Iranativu Island, Northern Province (வட மாகாணம்)",55,"EW-46465"
2004-11-21,"","Canadair RegionalJet CRJ-200","Baotou, Inner Mongolia",55,"B-3072"
2015-08-16,"","ATR42-300","Oksibil, Special Region of Papua",54,"PK-YRN"
1995-11-09,"","Fokker F27 Friendship","Mt San Agustin, Córdoba",53,"TC-72"
1998-04-20,"","Boeing 727-200","Bogotá-El Dorado, Bogotá Capital District",53,"HC-BSU"
1996-05-03,"Federal Air","Antonov AN-24","Khartoum, Khartoum (الخرطوم)",53,"ST-FAG"
2021-07-04,"","Lockheed C-130 Hercules","Jolo Island, Sulu",52,"5125"
1995-04-29,"","Avro 748","Jaffna (Palaly), Northern Province (வட மாகாணம்)",52,"4R-HVA"
1995-12-05,"","Tupolev TU-134","Nakhchivan, Nakhchivan",52,"4K-65703"
1998-01-13,"Afghan Taliban Forces","Antonov AN-32","Khojak Pass, Baluchestan (بلوچستان)",51,"-"
2018-03-12,"","De Havilland DHC-8-400 (Dash-8)","Kathmandu-Tribhuvan, Bagmati",51,"S2-AGU"
1995-01-11,"","Douglas DC-9","María La Baja, Bolívar",51,"HK-3839X"
1997-03-18,"SAAK Stavropolskaya Aktsionernaya Aviakompania","Antonov AN-24","Cherkessk, Republic of Karachay-Cherkessia",50,"RA-46516"
2013-11-17,"","Boeing 737-500","Kazan, Republic of Tatarstan",50,"VQ-BBN"
2009-02-12,"","De Havilland DHC-8-400 (Dash-8)","Buffalo, New York",50,"N200WQ"
1999-06-03,"","Antonov AN-32","Khartoum, Khartoum (الخرطوم)",50,"-"
2013-10-16,"","ATR72-600","Pakse, Champasak Province",49,"RDPL-34233"
2007-10-04,"El Sam Airlift","Antonov AN-26","Kinshasa-N'Djili, Kinshasa City Province",49,"9Q-COS"
2000-06-22,"","Xian Yunsunji Y-7-100","Wuhan, Hubei",49,"B-3479"
2000-10-31,"ACA-Ancargo Air","Antonov AN-26","Mona Quimbundo, Lunda Sul",49,"D2-FDI"
1995-12-13,"Banat Air","Antonov AN-24","Verona-Villafranca (Valerio Catullo), Veneto",49,"YR-AMR"
2014-06-14,"","Ilyushin II-76","Luhansk, Luhansk Oblast",49,"76777"
2006-08-27,"","Canadair RegionalJet CRJ-200","Lexington-Blue Grass, Kentucky",49,"N431CA"
2014-07-23,"","ATR72-500","Magong, Penghu County (澎湖縣)",48,"B-22810"
1995-06-17,"","Casa 212 Aviocar","Catumbela, Benguela",48,"T-401"
2011-06-20,"","Tupolev TU-134","Petrozavodsk, Republic of Karelia",47,"RA-65691"
2016-12-07,"","ATR42-500","Havelian, Khyber Pakhtunkhwa (خیبرپختونخوا)",47,"AP-BHO"
2008-02-21,"","ATR42-300","Mérida, Mérida",46,"YV1449"
2003-01-09,"","Fokker F28 Fellowship","Chachapoyas, Amazonas",46,"OB-1396"
2004-08-24,"","Tupolev TU-154","Gluboki, Rostov oblast",46,"RA-85556"
1998-03-19,"","Boeing 727-200","Kabul, Kabul",45,"YA-FAZ"
2006-07-10,"","Fokker F27 Friendship","Multan, Punjab (پنجاب)",45,"AP-BAL"
2012-05-09,"","Sukhoi Superjet 100-95","Mt Salak, West Java",45,"97004"
1995-04-28,"","Avro 748","Jaffna (Palaly), Northern Province (வட மாகாணம்)",45,"4R-HVB"
2001-09-11,"","Boeing 757-200","Shanksville, Pennsylvania",45,"N591UA"
2011-09-07,"","Yakovlev Yak-42","Yaroslavl, Yaroslavl oblast",44,"RA-42434"
1997-07-11,"","Antonov AN-24","Santiago de Cuba, Santiago de Cuba",44,"CU-T1262"
2010-08-24,"","Embraer ERJ-190","Yichun, Heilongjiang",44,"B-3130"
2010-05-17,"","Antonov AN-24","Salang Pass, Parwan",44,"YA-PIS"
2002-12-23,"","Antonov AN-140","Isfahan, Isfahan",44,"UR-14003"
2004-08-24,"","Tupolev TU-134","Buchalki, Tula oblast",44,"RA-65080"
2004-02-10,"","Fokker 50","Sharjah, Sharjah (الشارقةّ)",43,"EP-LCA"
2015-02-04,"","ATR72-600","Taipei-Songshan, Taipei City (臺北市)",43,"B-22816"
1995-09-21,"","Antonov AN-24","Mörön, Khövsgöl",42,"BNMAU-10103"
2006-01-19,"","Antonov AN-24","Telkibánya, Borsod-Abaúj-Zemplén",42,"5605"
2015-11-04,"","Antonov AN-12","Juba, Central Equatoria (الاستوائية الوسطى)",41,"EY-406"
1998-10-10,"Congo Airlines","Boeing 727-100","Kindu, Maniema",41,"9Q-CSG"
2019-05-05,"","Sukhoi Superjet 100-95","Moscow-Sheremetyevo, Moscow oblast",41,"RA-89098"
2000-03-30,"","Antonov AN-26","Anuradhapura, North Central Province (வட மத்திய மாகாணம்)",40,"UR-79170"
2014-08-10,"","HESA IrAn-140-100","Tehran-Mehrabad, Tehran City District",40,"EP-GPA"
2005-08-23,"","Boeing 737-200","Pucallpa, Ucayali",40,"OB-1809-P"
2008-04-15,"","Douglas DC-9","Goma, Nord-Kivu",40,"9Q-CHN"
2006-06-03,"","Shaanxi Y-8","Yao, Anhui",40,"-"
2017-01-16,"","Boeing 747-400","Bishkek-Manas, Bishkek City",39,"TC-MCL"
1998-05-12,"","Xian Yunsunji Y-7-100","Néma, Hodh Ech Chargui",39,"5T-MAG"
2018-03-06,"","Antonov AN-26","Hmeimim AFB (Latakia), Latakia Governorate (مُحافظة اللاذقية‎)",39,"RF-92955"
1998-09-25,"","BAe 146","Cap de Trois Fourches, Oriental",38,"EC-GEO"
2006-11-27,"Islamic Revolutionary Guard Corps","Antonov AN-74","Tehran-Mehrabad, Tehran City District",38,"15-2255"
2019-12-09,"","Lockheed C-130 Hercules","Drake Passage, World",38,"990"
2024-12-25,"","Embraer ERJ-190","Aktau, Mangystau",38,"4K-AZ65"
1996-11-12,"","Ilyushin II-76","Charkhi Dadri, Haryana",37,"UN-76435"
1997-02-02,"","Casa 212 Aviocar","Quibaxe, Cuanza Norte",37,"T-400"
