"Date","Operator","Aircraft","Location","Fatalities","Registration"
2019-12-19,"","Beechcraft 100 King Air","Charallave-Óscar Machado Zuloaga, Miranda",9,"YV1104"
2021-07-08,"Kalle David Flyg","De Havilland DHC-2 Beaver","Örebro, Närke",9,"SE-KKD"
2008-10-05,"Glen Lena","Britten-Norman Islander","Barberton, Mpumalanga",9,"ZS-OSD"
2017-07-04,"Servicio Autónomo de Transporte Aéreo - SATA","Gulfstream GIII","Punta Arenas, Nueva Esparta",9,"YV2896"
1996-08-03,"","Gulfstream GIII","Vágar, Vágar",9,"F-330"
2004-02-26,"Macedonian Government","Beechcraft 200 Super King Air","Berkovići, Republika Srpska",9,"Z3-BAB"
2005-01-13,"Tura Air Enterprise - Turinskoe Aviapredpriatie","PZL-Mielec AN-2","Tura, Krasnoyarsk Krai",9,"RA-62597"
1995-10-31,"Transportes Aéreos de Coahuila - TACSA","Cessna 208B Grand Caravan","Piedras Negras, Coahuila",9,"XA-SVM"
2005-03-31,"","Lockheed C-130 Hercules","Gramsh, Elbasan",9,"87-0127"
2021-11-03,"","Antonov AN-12","Irkutsk-Intl, Irkutsk oblast",9,"EW-518TI"
1997-11-01,"Centre Ecole Régional Parachutisme de Picardie","Pilatus PC-6 (Porter & Turbo Porter)","Laon-Chambry, Aisne",9,"F-GHXS"
2000-03-09,"Vologda Air Enterprise - Vologodskoe Aviapredpriatie","Yakovlev Yak-40","Moscow-Sheremetyevo, Moscow oblast",9,"RA-88170"
2019-07-14,"","GippsAero GA8 Airvan","Umeå, Västerbotten",9,"SE-MES"
1997-12-20,"","Beechcraft 80 Queen Air","Caracas-Maiquetía-Simón Bolívar, Vargas",9,"YV-539C"
2010-09-04,"Skydive New Zealand","Fletcher FU-24","Fox Glacier, West Coast Regional Council",9,"ZK-EUF"
2019-11-30,"","Pilatus PC-12","Chamberlain, South Dakota",9,"N56KJ"
1995-05-09,"Cooperativa Interregional de Colombia (COINCO)","Curtiss C-46 Commando","Villavicencio, Meta",9,"HK-3079-G"
1998-07-30,"","Dornier DO228","Cochin, Kerala",9,"VT-EJW"
1998-10-12,"Jetair Flight Academy","Cessna 402","Stord-Sørstokken, Hordaland",9,"OY-BHE"
1997-09-13,"","Lockheed C-141 Starlifter","Atlantic Ocean, World",9,"65-9405"
2024-03-28,"Comercializadora Masvi","Beechcraft 90 King Air","Palenque, Chiapas",9,"XB-SKA"
2001-09-27,"","Lockheed C-130 Hercules","Campo dos Afonsos AFB, Rio de Janeiro",9,"2455"
2008-05-26,"","Antonov AN-12","Chelyabinsk, Chelyabinsk oblast",9,"RA-12957"
1996-02-27,"Aero Tropical","Antonov AN-12","Lucapa, Lunda Norte",9,"ER-ACE"
1999-01-02,"","Lockheed C-130 Hercules","Huambo-Albano Machado, Huambo",9,"D2-EHD"
2024-08-22,"","Cessna 208B Grand Caravan","Wat Khao Din, Chachoengsao (ฉะเชิงเทรา)",9,"HS-SKR"
2021-12-15,"","Gulfstream GIV","Santo Domingo-Las Américas, Santo Domingo",9,"HI1050"
2007-05-06,"","De Havilland DHC-6 Twin Otter","at-Tamad, Dakahlia",9,"742/F-RACB"
2009-02-25,"","Boeing 737-800","Amsterdam-Schiphol, North Holland",9,"TC-JGE"
2015-06-25,"","De Havilland DHC-3 Otter","Ella Lake, Alaska",9,"N270PA"
2005-03-26,"","Let L-410","El Embrujo (Providencia Island), San Andrés, Providencia & Santa Catalina",9,"HK-4146"
2020-08-22,"","Antonov AN-26","Juba, Central Equatoria (الاستوائية الوسطى)",9,"EX-126"
1995-04-17,"","Learjet C-21A","Alexander City-Thomas C. Russell, Alabama",8,"84-0136"
1999-01-11,"","Hindustan Aeronautics HAL-748","Arakkonam-Rajali NAS, Tamil Nadu",8,"H2175"
1999-04-15,"","McDonnell Douglas MD-11","Shanghai-Hongqiao, Shanghai",8,"HL7373"
2020-03-29,"","IAI 1124 Westwind","Manila-Ninoy Aquino, Metro Manila",8,"RP-C5880"
2001-09-30,"Birla Global Finance","Beechcraft 90 King Air","Mainpuri, Uttar Pradesh",8,"VT-EFF"
2011-08-02,"","Cessna 208B Grand Caravan","Bom Jardim da Serra, Santa Catarina",8,"2735"
2003-09-13,"","Cessna 402","Tecalitlán, Jalisco",8,"XB-FTA"
1996-11-07,"","Cessna 421C Golden Eagle III","Donzeil, Creuse",8,"HB-LRX"
2007-11-04,"","Learjet 35","Campo de Marte AFB (São Paulo), São Paulo",8,"PT-OVC"
2017-05-01,"","Cessna 208B Grand Caravan","Bogotá-Guaymaral, Bogotá Capital District",8,"EJC-1130"
2022-07-16,"","Antonov AN-12","Eleftheroupolis, East Macedonia and Thrace / Ανατολική Μακεδονία και Θράκη",8,"UR-CIC"
1999-07-02,"","Fokker F27 Friendship","Sittwe, Rakhine State (Arakan)",8,"XY-AEO"
2000-09-04,"Central Air","Beechcraft 200 Super King Air","Wernadinga Station, Queensland",8,"VH-SKC"
2010-10-06,"Aviones Taxi AIFE","Cessna 501 Citation I","Coatzacoalcos, Veracruz",8,"XA-TKY"
2021-08-14,"","Beriev Be-200","Kahramanmaraş, Mediterranean Region (Akdeniz Bölgesi)",8,"RF-88450"
2015-12-24,"","Airbus A310","Mbuji-Mayi, Kasai-Oriental",8,"9Q-CVH"
2005-11-19,"Ivolga Avia","Cessna 208B Grand Caravan","Staroye, Moscow oblast",8,"P4-OIN"
2016-07-31,"","Embraer EMB-820 Navajo/Carajá","Londrina, Paraná",8,"PT-EFQ"
1995-09-02,"","Cessna 421C Golden Eagle III","Mesquite, Nevada",8,"N6234G"
1996-11-13,"Kissimayu Aviation","Piper PA-31-310 Navajo","Ngong, Kajiado",8,"5Y-ALA"
2019-10-10,"","Antonov AN-72","Okoto, Kasai-Oriental",8,"EK-72903"
2005-02-16,"","Cessna 560 Citation V","Pueblo, Colorado",8,"N500AT"
2010-10-12,"","Lockheed C-130 Hercules","Kabul, Kabul",8,"5X-TUC"
2012-07-28,"","Beechcraft 200 Super King Air","Juiz de Fora, Minas Gerais",8,"PR-DOC"
1996-08-30,"","Embraer C-95 Bandeirante","Queluz, São Paulo",8,"2315"
2009-12-13,"","Technoavia SM-92 Turbo Finist","Kalachevo, Chelyabinsk oblast",8,"RA-0257G"
2010-05-15,"","PZL-Mielec AN-28","Poeketi, Sipaliwini",8,"PZ-TSV"
2014-04-19,"Lineas Aéreas Comerciales (LACSA)","BAe 125","Saltillo, Coahuila",8,"XA-UKR"
2005-11-11,"Royal Airlines Cargo","Ilyushin II-76","Kōh-e Khāk-e Shahīdān, Kabul",8,"4L-ZIL"
2011-09-06,"","Swearingen SA227 Metro III","Trinidad-Jorge Heinrich Arauz, Beni",8,"CP-2548"
2022-02-13,"EDP Management Group","Pilatus PC-12","Beaufort, North Carolina",8,"N79NX"
2012-03-22,"","Beechcraft 350 Super King Air","Puerto Aguirre, Región Aysén del General Carlos Ibáñez del Campo",8,"CC-AEB"
2013-11-03,"","Swearingen SA227 Metro III","Riberalta, Beni",8,"CP-2754"
2014-04-20,"Suomen Urheiluilmailijat","Comp Air CA-8","Jämijärvi, Satakunta",8,"OH-XDZ"
1997-10-10,"","Lockheed C-130 Hercules","Taipei-Songshan, Taipei City (臺北市)",8,"1310"
2002-02-07,"","Antonov AN-12","Agadir, Souss-Massa-Drâa",8,"UR-LIP"
2011-10-14,"","Cessna 208B Grand Caravan","Xakanaka, North-West District",8,"A2-AKD"
2003-09-11,"","Cessna 208B Grand Caravan","Nibinamik (Summer Beaver), Ontario",8,"C-FKAB"
1995-10-25,"MAP Ufa Motors","Antonov AN-32","Ufa, Republic of Bashkortostan",8,"RA-48981"
1996-04-05,"","Xian Yunsunji Y-7-100","Nouadhibou, Dakhlet Nouadhibou",8,"5T-MAF"
1996-10-20,"","Piper PA-31-350 Navajo Chieftain","Charlo, New Brunswick",8,"N744W"
2000-10-19,"","Harbin Yunsunji Y-12","Sam Neua, Houaphan Province",8,"RDPL-34130"
2002-12-13,"","Britten-Norman Islander","Tep Tep, Madang",8,"P2-CBB"
1996-01-15,"Pro Air Services","Mitsubishi MU-2 Marquise","Malad City, Idaho",8,"N693PA"
1997-12-11,"","Antonov AN-12","Naryan-Mar, Nenets Autonomous Okrug",8,"RA-12105"
1999-03-18,"","Douglas DC-3","Tame, Arauca",8,"HK-337"
1999-09-03,"CP Horizons Corporation","Beechcraft 90 King Air","West Palm Beach, Florida",8,"N338AS"
2001-09-18,"","Let L-410","Guatemala City-La Aurora, Guatemala",8,"TG-CFE"
2014-04-20,"Suomen Urheiluilmailijat","Comp Air CA-8","Jämijärvi, Satakunta",8,"OH-XDZ"
1997-10-10,"","Lockheed C-130 Hercules","Taipei-Songshan, Taipei City (臺北市)",8,"1310"
2002-02-07,"","Antonov AN-12","Agadir, Souss-Massa-Drâa",8,"UR-LIP"
2003-09-11,"","Cessna 208B Grand Caravan","Nibinamik (Summer Beaver), Ontario",8,"C-FKAB"
1995-10-25,"MAP Ufa Motors","Antonov AN-32","Ufa, Republic of Bashkortostan",8,"RA-48981"
1996-04-05,"","Xian Yunsunji Y-7-100","Nouadhibou, Dakhlet Nouadhibou",8,"5T-MAF"
1996-10-20,"","Piper PA-31-350 Navajo Chieftain","Charlo, New Brunswick",8,"N744W"
2000-10-19,"","Harbin Yunsunji Y-12","Sam Neua, Houaphan Province",8,"RDPL-34130"
2021-10-03,"Aviroms Rent A Car","Pilatus PC-12","Milan-Linate, Lombardy",8,"YR-PDV"
2002-12-13,"","Britten-Norman Islander","Tep Tep, Madang",8,"P2-CBB"
1996-01-15,"Pro Air Services","Mitsubishi MU-2 Marquise","Malad City, Idaho",8,"N693PA"
1997-12-11,"","Antonov AN-12","Naryan-Mar, Nenets Autonomous Okrug",8,"RA-12105"
1999-03-18,"","Douglas DC-3","Tame, Arauca",8,"HK-337"
1999-09-03,"CP Horizons Corporation","Beechcraft 90 King Air","West Palm Beach, Florida",8,"N338AS"
2001-09-18,"","Let L-410","Guatemala City-La Aurora, Guatemala",8,"TG-CFE"
2006-04-27,"LAC - Sky Congo","Convair CV-580","Amisi, Katanga",8,"ZS-SKH"
2002-10-25,"","Beechcraft 100 King Air","Eveleth, Minnesota",8,"N41BE"
2003-06-06,"Air Adventures New Zealand","Piper PA-31-350 Navajo Chieftain","Christchurch, Canterbury Regional Council",8,"ZK-NCA"
1995-02-13,"","Piper PA-31-350 Navajo Chieftain","Grand Canyon-National Park, Arizona",8,"N27245"
1997-11-08,"","Cessna 208B Grand Caravan","Barrow, Alaska",8,"N750GC"
2005-03-23,"","Ilyushin II-76","Mwanza, Mwanza Region",8,"ER-IBR"
2000-10-29,"Oscar Osorio Ramírez","Piper PA-31-310 Navajo","Sasaima, Cundinamarca",8,"HK-2644-P"
1995-08-21,"","Embraer EMB-120 Brasília","Carrollton, Georgia",8,"N256AS"
1998-06-26,"","Beechcraft 200 Super King Air","Abidjan, Lagunes",8,"ZS-MSL"
2000-06-27,"","Kawasaki C-1","Shimano, Kansai",8,"88-1027"
2005-09-01,"AeroAndes","Piper PA-31-350 Navajo Chieftain","Bogotá-Guaymaral, Bogotá Capital District",8,"HK-3069P"
2012-03-01,"","Piper PA-31-310 Navajo","Quellón, Región de Los Lagos",8,"CC-CYM"
1995-04-17,"","Learjet C-21A","Alexander City-Thomas C. Russell, Alabama",8,"84-0136"
1999-01-11,"","Hindustan Aeronautics HAL-748","Arakkonam-Rajali NAS, Tamil Nadu",8,"H2175"
1999-04-15,"","McDonnell Douglas MD-11","Shanghai-Hongqiao, Shanghai",8,"HL7373"
2020-03-29,"","IAI 1124 Westwind","Manila-Ninoy Aquino, Metro Manila",8,"RP-C5880"
2001-09-30,"Birla Global Finance","Beechcraft 90 King Air","Mainpuri, Uttar Pradesh",8,"VT-EFF"
2003-09-13,"","Cessna 402","Tecalitlán, Jalisco",8,"XB-FTA"
1996-11-07,"","Cessna 421C Golden Eagle III","Donzeil, Creuse",8,"HB-LRX"
2018-08-11,"","PAC 750XL - Pacific Aerospace Corporation","Oksibil, Special Region of Papua",8,"PK-HVQ"
1999-12-09,"","Piper PA-31-310 Navajo","Sundsvall, Medelpad",8,"SE-GDN"
2000-05-31,"","Piper PA-31-350 Navajo Chieftain","Whyalla, South Australia",8,"VH-MZK"
2011-08-02,"","Cessna 208B Grand Caravan","Bom Jardim da Serra, Santa Catarina",8,"2735"
2003-06-25,"","Lockheed C-130 Hercules","Rudshur, Qom",7,"-"
2003-12-17,"","Casa-Nurtanio CN-235 (IPTN)","Pic du Pioulou, Ariège",7,"F-RAIA"
2019-10-02,"","Boeing B-17 Flying Fortress","Windsor Locks-Bradley, Connecticut",7,"N93012"
2000-03-22,"","Casa 212 Aviocar","Cubillejo, Castile-La Mancha",7,"TM.12D-73"
2024-07-26,"Haynie Enterprises","Pilatus PC-12","Gillette, Wyoming",7,"N357HE"
2016-03-29,"","Mitsubishi MU-2 Marquise","Le Havre-aux-Maisons (Magdalen Islands), Quebec",7,"N246W"
2021-05-29,"JL & GL Productions LP","Cessna 501 Citation I","Smyrna-Rutherford County, Tennessee",7,"N66BK"
2013-03-04,"","Fokker 50","Goma, Nord-Kivu",7,"9Q-CBD"
2008-11-13,"","Antonov AN-12","Al-Taqaddum AFB, Al-Anbar (الأنبار)",7,"S9-SAO"
1998-12-07,"","Britten-Norman Islander","Baie-Comeau, Quebec",7,"C-FCVK"
2009-09-22,"","Ilyushin II-76","Varamin, Tehran City District",7,"5-8208"
1996-10-06,"","Antonov AN-12","Lucapa, Lunda Norte",7,"RA-11101"
2004-05-04,"","Cessna 208B Grand Caravan","Mt Awakapa Tepuy (Chimanta), Bolívar",7,"YV-O-CBL-7"
2004-05-02,"","Rockwell Gulfstream 690C Jetprop 840","Milpillas, Aguascalientes",7,"XC-JEH"
2014-12-24,"","Cessna 207 Skywagon/Stationair","Piedecuesta, Santander",7,"HK-4892"
2000-12-16,"Agropecuária J. Caetano","Rockwell Turbo Commander 680/681","São Paulo-Congonhas, São Paulo",7,"PT-IEE"
2012-07-12,"","Harbin Yunsunji Y-12","Nouakchott, Nouakchott City District",7,"5T-MAE"
1995-09-02,"","BAe Nimrod","Toronto, Ontario",7,"XV239"
2014-08-13,"","Cessna 560XLS Citation Excel","Santos, São Paulo",7,"PR-AFA"
2015-04-07,"Make it Happen Aviation","Cessna 414 Chancellor","Bloomington, Illinois",7,"N789UP"
2000-09-02,"","Basler BT-67","Pueblo Rico, Risaralda",7,"FAC-1659"
2015-09-05,"","BAe 125","Atlantic Ocean, World",7,"6V-AIM"
2001-01-28,"Rafael Perez","Rockwell Aero Commander 500","Puerto Plata, Puerto Plata",7,"HI-535SP"
2008-11-13,"","Antonov AN-12","Al-Taqaddum AFB, Al-Anbar (الأنبار)",7,"S9-SAO"
1998-12-07,"","Britten-Norman Islander","Baie-Comeau, Quebec",7,"C-FCVK"
2009-09-22,"","Ilyushin II-76","Varamin, Tehran City District",7,"5-8208"
1996-10-06,"","Antonov AN-12","Lucapa, Lunda Norte",7,"RA-11101"
2004-05-04,"","Cessna 208B Grand Caravan","Mt Awakapa Tepuy (Chimanta), Bolívar",7,"YV-O-CBL-7"
2004-05-02,"","Rockwell Gulfstream 690C Jetprop 840","Milpillas, Aguascalientes",7,"XC-JEH"
2014-12-24,"","Cessna 207 Skywagon/Stationair","Piedecuesta, Santander",7,"HK-4892"
2000-12-16,"Agropecuária J. Caetano","Rockwell Turbo Commander 680/681","São Paulo-Congonhas, São Paulo",7,"PT-IEE"
1995-09-02,"","BAe Nimrod","Toronto, Ontario",7,"XV239"
2014-08-13,"","Cessna 560XLS Citation Excel","Santos, São Paulo",7,"PR-AFA"
2015-04-07,"Make it Happen Aviation","Cessna 414 Chancellor","Bloomington, Illinois",7,"N789UP"
2000-09-02,"","Basler BT-67","Pueblo Rico, Risaralda",7,"FAC-1659"
2015-09-05,"","BAe 125","Atlantic Ocean, World",7,"6V-AIM"
2001-01-28,"Rafael Perez","Rockwell Aero Commander 500","Puerto Plata, Puerto Plata",7,"HI-535SP"
2011-02-04,"","Hawker 850XP","Sulaymānīyah, As-Sulaymāniyyah (السليمانية)",7,"OD-SKY"
2006-08-28,"Jason S. Christie","Cessna 401","Whick, Kentucky",7,"N408JC"
2011-07-11,"","Antonov AN-24","Strezhevoy, Tomsk oblast",7,"RA-47302"
2002-11-07,"","Britten-Norman Islander","Tarakan, West Kalimantan",7,"PK-VIZ"
2012-12-09,"Starwood Management","Learjet 25","Iturbide, Nuevo León",7,"N345MC"
2008-11-16,"","Grumman G-21A Goose","Thormanby Island, British Columbia",7,"C-FPCK"
2009-03-19,"","Beechcraft 200 Super King Air","Quito-Mariscal Sucre (Tababela), Pichincha",7,"AEE-101"
1995-04-21,"","Casa 212 Aviocar","Apolo, La Paz",7,"EB-50"
1999-05-08,"","De Havilland DHC-6 Twin Otter","Port Vila, All Vanuatu",7,"YJ-RV9"
2020-07-15,"","Beechcraft 350 Super King Air","Mt Artos, Eastern Anatolia Region (Doğu Anadolu Bölgesi)",7,"EM-809"
